time, Quad.IMU.AX
3.379937,-0.006162
3.384937,-0.378467
3.389937,-0.997458
3.394936,-0.419316
3.399936,-0.715153
3.404936,0.705129
3.409935,0.047966
3.414935,0.016192
3.419935,0.331060
3.424934,0.687752
3.429934,-0.024420
3.434933,0.134645
3.439933,1.371600
3.444933,-0.169901
3.449932,-0.063110
3.454932,-0.179328
3.459932,0.476837
3.464931,-0.531297
3.469931,-0.342888
3.474931,0.966029
3.479930,-0.505439
3.484930,0.102631
3.489929,-0.250244
3.494929,0.173906
3.499929,0.299177
3.504928,-0.514819
3.509928,-0.493504
3.514928,-0.785859
3.519927,-0.578032
3.524927,0.682381
3.529927,-0.480818
3.534926,-0.207326
3.539926,-0.777584
3.544925,-0.275510
3.549925,-0.056410
3.554925,0.293791
3.559924,0.281436
3.564924,0.129371
3.569924,-0.212413
3.574923,0.003364
3.579923,-0.590923
3.584923,0.659935
3.589922,-0.734020
3.594922,0.069362
3.599921,0.474057
3.604921,0.366565
3.609921,0.838753
3.614920,0.201967
3.619920,0.101905
3.624920,-0.588741
3.629919,-1.094523
3.634919,0.900422
3.639919,0.721850
3.644918,0.168277
3.649918,-0.792872
3.654917,0.129699
3.659917,0.178547
3.664917,0.723091
3.669916,-0.292815
3.674916,0.069883
3.679916,-0.212920
3.684915,0.415167
3.689915,-0.634848
3.694915,0.081879
3.699914,-0.961291
3.704914,-1.087599
3.709913,1.382204
3.714913,0.660472
3.719913,-0.328701
3.724912,0.242189
3.729912,0.025068
3.734912,0.137308
3.739911,-0.559180
3.744911,0.427431
3.749911,0.530743
3.754910,0.336926
3.759910,-0.297834
3.764910,0.524519
3.769909,-0.004321
3.774909,0.528604
3.779908,0.189007
3.784908,-0.697898
3.789908,0.858352
3.794907,0.242968
3.799907,0.226471
3.804907,1.106386
3.809906,-0.984704
3.814906,-0.123730
3.819906,-0.634850
3.824905,0.554961
3.829905,-0.274818
3.834904,-0.574116
3.839904,-0.554539
3.844904,0.793817
3.849903,0.943704
3.854903,-0.223497
3.859903,-0.574415
3.864902,0.150026
3.869902,0.150234
3.874902,0.715881
3.879901,-0.532301
3.884901,-0.270119
3.889900,-0.877091
3.894900,0.260068
3.899900,0.200654
3.904899,-0.710036
3.909899,0.261961
3.914899,0.469573
3.919898,-0.717270
3.924898,0.408198
3.929898,-0.213255
3.934897,0.097006
3.939897,0.173196
3.944896,-0.224378
3.949896,-0.457206
3.954896,0.012946
3.959895,-0.804258
3.964895,-0.444963
3.969895,-0.390536
3.974894,0.230827
3.979894,0.427706
3.984894,-0.412817
3.989893,-0.110309
3.994893,1.018725
3.999892,-0.153596
4.004892,0.210985
4.009892,0.748554
4.014892,0.111876
4.019891,-0.439820
4.024891,0.649386
4.029891,-0.241306
4.034890,-0.262005
4.039890,-0.677799
4.044889,-0.400106
4.049889,-0.700746
4.054889,0.359631
4.059888,-0.108836
4.064888,-0.669045
4.069888,-0.177483
4.074887,0.212115
4.079887,-0.156150
4.084887,-0.068859
4.089886,0.584504
4.094886,-0.232092
4.099885,0.080941
4.104885,0.038563
4.109885,-0.211849
4.114884,-0.012594
4.119884,-0.121894
4.124884,-0.909034
4.129883,-0.345501
4.134883,0.147333
4.139883,-0.577039
4.144882,-0.585033
4.149882,1.003491
4.154881,0.703234
4.159881,0.415370
4.164881,-0.135956
4.169880,-0.564737
4.174880,0.165231
4.179880,0.411497
4.184879,-0.314596
4.189879,0.393496
4.194879,-0.385875
4.199878,-0.242732
4.204878,-0.882959
4.209877,0.389546
4.214877,-0.105993
4.219877,0.727021
4.224876,0.572706
4.229876,0.574348
4.234876,-0.427666
4.239875,0.798494
4.244875,-0.106232
4.249875,0.642881
4.254874,-0.625058
4.259874,-0.295568
4.264874,0.292055
4.269873,0.076847
4.274873,0.012174
4.279872,0.182830
4.284872,-0.130579
4.289872,-0.170149
4.294871,0.418837
4.299871,-0.152923
4.304871,0.251357
4.309870,-0.894258
4.314870,-0.505881
4.319870,-0.816156
4.324869,0.313400
4.329869,0.349777
4.334868,-0.125265
4.339868,0.702253
4.344868,-0.434504
4.349867,-0.296263
4.354867,0.528113
4.359867,-0.064775
4.364866,0.042617
4.369866,-0.364740
4.374866,0.004174
4.379865,-0.062074
4.384865,0.124681
4.389864,-0.549008
4.394864,0.590026
4.399864,0.340086
4.404863,0.963101
4.409863,0.291558
4.414863,0.626109
4.419862,-0.307154
